lokasi,judul,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan
"Klojen, Malang","VI# Dijual Rumah Terawat Tengah Kota di Kawasan Komersial, Jl.  Dr. Sutomo, Klojen, Malang  Keunggulan:  1. Bisa dijadikan ruang usaha: Cafe / Kant...",7950000000.0,6.0,3.0,429.0,350.0,2026-04-13,Klojen
"Klojen, Malang","[Deal Terbaik, Harga Masuk]  Dijual Rumah Mewah Furnished di Pusat Kota, Selangkah dari Ijen Boulevard, Malang   Lantai full marmer  Furnished impo...",32500000000.0,5.0,5.0,1202.0,1300.0,2026-04-13,Klojen
"Dieng, Malang","Rumah 1 lantai di Dieng, Malang.  For sale rumah di wilayah yang nyaman. Properti 1 lantai ini berada di lingkungan strategis.  Spesifikasinya adal...",1100000000.0,2.0,1.0,108.0,90.0,2026-04-13,Sukun
"Blimbing, Malang","Rumah 1 Lantai, Semifurnished Lokasi Di PBI Araya  Bangunan terawat dan siap huni  Lokasi dekat ke - rs persada - kampus binus - exit tol pakis mal...",1780000000.0,4.0,2.0,179.0,100.0,2026-04-13,Blimbing
"Klojen, Malang","Rumah Murah Kawasan Elite Perumahan Ijen Nirwana Dekat Buah Buahan Luas 247 m2.  Area perumahan yang nyaman dengan keamanan 24 jam, kawasan elite. ...",2750000000.0,3.0,3.0,247.0,120.0,2026-04-13,Klojen
"Sukun, Malang","Turun Harga! Rumah Bagus di Area Perumahan Puncak Dieng Malang.  Rumah berada di daerah perumhan puncak dieng malang Lokasi strategis, tidak jauh d...",1650000000.0,3.0,2.0,204.0,150.0,2026-04-13,Sukun
"Dieng, Malang","Dijual rumah semi furnish (sudah ada AC, water heater, ada canopy di carport dan di dapur). Lokasi strategis sangat dekat dengan Univ. Machung, Uni...",995000000.0,2.0,1.0,84.0,65.0,2026-04-13,Sukun
"Lowokwaru, Malang","Dijual rumah bagus minimalis modern di perumahan daerah Lowokwaru Malang  Luas 108 m2 Rumah memiliki 3 kamar tidur Lokasi nyaman, akses mudah, deka...",900000000.0,3.0,2.0,108.0,70.0,2026-04-13,Lowokwaru
"Sawojajar, Malang","DIJUAL RUMAH SIAP HUNI 2,5 LANTAI - SAWOJAJAR 2, KOTA MALANG  Hunian luas dan nyaman di kawasan favorit Sawojajar 2. Cocok untuk keluarga besar mau...",750000000.0,4.0,2.0,84.0,180.0,2026-04-13,Blimbing
"Lowokwaru, Malang",:fire:‼️HOT LISTING RUMAH SUHAT LOWOKWARU  MALANG‼️:fire:  DIJUAL Rumah Eksklusif di Kalila Residence Lowokwaru Suhat Malang  Spesifikasi :...,1000000000.0,3.0,2.0,84.0,135.0,2026-04-13,Lowokwaru
"Sawojajar, Malang","Dijual rumah dua lantai di jalan Tondano dalam, lokasi strategis dan sudah ramai penduduk nya. Aman, nyaman dan sangat cocok buat usaha.",850000000.0,5.0,3.0,78.0,150.0,2026-04-13,Blimbing
"Sawojajar, Malang","DIJUAL RUMAH DALAM PERUMAHAN - TENGAH KOTA MALANG | LOKASI RAMAI & STRATEGIS  Rumah siap huni di kawasan padat penduduk, dikelilingi area kuliner, ...",1300000000.0,4.0,2.0,127.0,100.0,2026-04-13,Blimbing
"Merjosari, Malang","Dijual rumah minimalis untuk keluarga kecil dalam cluster area Puncak Joyo Agung Merjosari. Dekat dengan Kampus UIN dan UNISMA 
 Dekat dengan Cafe ...",460000000.0,3.0,1.0,68.0,48.0,2026-04-13,Lowokwaru
"Araya, Malang","8x20, 2lt semi furnish, timur laut, ac , water heater , kitchen set, cluster greenwood golf , hgb, ppdam , sumur, cash only",2500000000.0,4.0,2.0,162.0,120.0,2026-04-13,Blimbing
