lokasi,judul,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan
"Lowokwaru, Malang","Rumah 2 lantai di Lowokwaru, Malang.  For sale rumah di wilayah yang nyaman dengan pemandangan permukiman warga. Properti 2 lantai bergaya modern i...",2600000000.0,10.0,3.0,235.0,350.0,2026-04-13,Lowokwaru
"Araya, Malang",K39 Update Colisting  Dijual Rumah Tema Klasik di Cluster Golf Kota Araya Malang  - berada di posisi hook - ⁠kondisi baik dan siap huni - ⁠priv...,2300000000.0,3.0,2.0,210.0,350.0,2026-04-13,Blimbing
"Sawojajar, Malang","*Termurah Malang Kota 408,5Juta*  *Best offer 5 Menit Tol Malang Rumah Baru One Gate Cluster Malang Kota*  *Harga sudah Termasuk* Pajak BPHTB  By N...",408000000.0,1.0,1.0,60.0,30.0,2026-04-13,Blimbing
"Sukun, Malang","Rumah di Sukun.  Miliki rumah 1 lantai yang nyaman ini,  dijual dengan pemandangan asri yang menambah nilai estetika di lingkungan hunian. Rumah in...",285000000.0,2.0,1.0,50.0,36.0,2026-04-13,Sukun
"Sukun, Malang","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Sukun, Malang.  Rumah ini menawarkan lokasi yang strategis se...",285000000.0,2.0,1.0,50.0,36.0,2026-04-13,Sukun
"Sukun, Malang","Rumah 1 lantai di Sukun, Malang.  Dijual rumah di wilayah yang tenang dengan pemandangan Lokasi dipusat kota. Properti 1 lantai ini berada di lingk...",285000000.0,2.0,1.0,50.0,36.0,2026-04-13,Sukun
"Sukun, Malang","Rumah 1 lantai di Sukun, Malang.  For sale rumah di wilayah yang asri dengan pemandangan Dipinggiran kota. Properti 1 lantai ini berada di lingkung...",285000000.0,2.0,1.0,50.0,36.0,2026-04-13,Sukun
"Araya, Malang",Di Jual : * Rumah 2.5 lantai * Lt 342 M² * Lb 500 M² * Lantai 1 :       - km.Tidur 1         - Km Mandi Dlm           - ( ada bath up )       - k...,8500000000.0,4.0,4.0,342.0,500.0,2026-04-13,Blimbing
"Blimbing, Malang",Bengkel AHASS aktif lengkap dengan semua perijinan. Bangunan bengkel 2 lantai. Ada 5 pitstop. Area Malang kota dengan  jalan akses kontainer .,4700000000.0,3.0,5.0,265.0,300.0,2026-04-13,Blimbing
"Sawojajar, Malang","DIJUAL RUMAH SIAP HUNI - SAWOJAJAR 1, KOTA MALANG  Lokasi strategis, akses mudah, lingkungan nyaman, dan cocok untuk hunian keluarga.   Keunggulan ...",1400000000.0,4.0,2.0,120.0,120.0,2026-04-13,Blimbing
"Blimbing, Malang",Rumah Murah luas 300 m2 Row Jalan Kembar di Boulevard Araya Golf  Kawasan elite di kota Malang mudah diakses dan jalanan yang lebar. Fasilitas sang...,3700000000.0,4.0,4.0,300.0,250.0,2026-04-13,Blimbing
"Dieng, Malang","RUMAH DIJUAL DI KAWASAN DIENG - SIAP HUNI, LOKASI PREMIUM!  Kesempatan emas memiliki rumah dalam perumahan di kawasan elit Dieng, dengan kondisi ba...",4000000000.0,4.0,3.0,300.0,240.0,2026-04-13,Sukun
"Sukun, Malang","‎Rumah 2 Lantai 400 Jutaan ‎FREE ALL BIAYA DAN PAJAK2  ‎kecuali Biaya KPR  ‎ ‎Lokasi Sukun, Kota Malang  ‎Kawasan sudah jadi ‎Legalit...",460000000.0,2.0,2.0,50.0,64.0,2026-04-13,Sukun
"Sukun, Malang","‎Rumah 1 Lantai 300 Jutaan ‎FREE ALL BIAYA DAN PAJAK2  ‎kecuali Biaya KPR  ‎ ‎Lokasi Sukun, Kota Malang  ‎Kawasan sudah jadi ‎Legalit...",365000000.0,2.0,1.0,38.0,64.0,2026-04-13,Sukun
"Kedungkandang, Malang","PROMO RUMAH POROS JALAN BUMIAYU, KEDUNGKANDANG, KOTA MALANG. FREE ALL BIAYA DAN PAJAK2   Rumah 2 Lantai  Type 60/LT 61  KT 2 KM 2  R. Tamu, Dapur, ...",554000000.0,2.0,2.0,60.0,61.0,2026-04-13,Kedungkandang
"Blimbing, Malang",DIJUAL MURAH Rumah Tengah Kota Pondok Indah Estate LA Sucipto Blimbing Malang  Point of Interest :  lingkungan aman dan nyaman security 24 jam  10 ...,700000000.0,2.0,1.0,74.0,60.0,2026-04-13,Blimbing
"Blimbing, Malang",DIJUAL MURAH Rumah Tengah Kota Pondok Indah Estate LA Sucipto Blimbing Malang  Point of Interest :  lingkungan aman dan nyaman security 24 jam  10 ...,700000000.0,2.0,1.0,60.0,74.0,2026-04-13,Blimbing
