Bulanan,
,Inflasi Year on Year (YoY) Kota Malang (Persen)
,2026
Januari,3.33
Februari,4.81
Maret,3.75
April,-
Mei,-
Juni,-
Juli,-
Agustus,-
September,-
Oktober,-
November,-
Desember,-
