lokasi,judul,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan
"Sukun, Malang",Spesifikasi: Luas Tanah 300m Luas Bangunan 287m Posisi Hook kamar tidur 3+1 kamar mandi 3 Listrik 2200W Sertifikat Hak Milik PDAM Garasi 1 & Carpor...,3300000000.0,3.0,3.0,300.0,287.0,2026-04-15,Sukun
"Lowokwaru, Malang",Dijual rumah bagus nyaman di daerah Lowokwaru Malang  Luas 220 m2 dengan 3 kamar tidur Rumah kondisi bagus terawat Lingkungan aman nyaman Lokasi de...,2500000000.0,3.0,3.0,220.0,110.0,2026-04-15,Lowokwaru
"Dieng, Malang","Dijual Rumah Furnished di Puncak Dieng, Dieng Malang   Luas Tanah 250 m² Dimensi 10 x 25 m Luas Bangunan 200 m²  Kamar Tidur 3 + 1 Kamar Mandi 1 ...",2600000000.0,3.0,1.0,250.0,200.0,2026-04-15,Sukun
"Blimbing, Malang","Turun Harga  Dijual Rumah di Jalan Sungai - sungai, Daerah Ciliwung, Blimbing Malang  Luas Tanah 169 m² Dimensi 8 x 21 m Luas Bangunan 300 m² 2 L...",3400000000.0,4.0,2.0,169.0,300.0,2026-04-15,Blimbing
"Sawojajar, Malang","*Termurah Malang Kota 408,5Juta*  *Best offer 5 Menit Tol Malang Rumah Baru One Gate Cluster Malang Kota*  *Harga sudah Termasuk* Pajak BPHTB  By N...",408000000.0,1.0,1.0,60.0,30.0,2026-04-15,Kedungkandang
"Araya, Malang","Dijual Rumah di Raya Pondok Blimbing Indah Araya depan Malang  Luas tanah : 200 m²  Luas Bangun : 240 m² Dimensi : 10 x 20 m Lantai  : 1,5 lantai...",3200000000.0,5.0,3.0,200.0,240.0,2026-04-15,Blimbing
"Araya, Malang",K39 Update Colisting  Dijual Rumah Tema Klasik di Cluster Golf Kota Araya Malang  - berada di posisi hook - ⁠kondisi baik dan siap huni - ⁠priv...,2300000000.0,3.0,2.0,210.0,350.0,2026-04-15,Blimbing
"Lowokwaru, Malang","Rumah 2 lantai di Lowokwaru, Malang.  For sale rumah di wilayah yang nyaman dengan pemandangan permukiman warga. Properti 2 lantai bergaya modern i...",2600000000.0,10.0,3.0,235.0,350.0,2026-04-15,Lowokwaru
"Lowokwaru, Malang","Dijual rumah bagus siap huni perumahan Griya Shanta Malang  Luas 117 m2 dengan 4 kamar tidur Lokasi nyaman, akses mudah, dekat dengan kampus Univer...",1200000000.0,4.0,3.0,117.0,130.0,2026-04-15,Lowokwaru
"Lowokwaru, Malang",Dijual rumah 4 kamar tidur di perumahan Permata Brantas Indah Tunggulwulung Malang  Lokasi dekat area kampus Universitas Brawijaya dan kampus Polit...,1000000000.0,4.0,2.0,164.0,115.0,2026-04-15,Lowokwaru
"Kedungkandang, Malang","Rumah pojok siap huni di perumahan Citra Garden Malang Akses hanya 5 menit dari exit tol Malang( Madyopuro)  Hawa sejuk , lokasi tenang  Di lantai ...",2500000000.0,4.0,4.0,180.0,186.0,2026-04-15,Kedungkandang
"Araya, Malang",Di Jual : * Rumah 2.5 lantai * Lt 342 M² * Lb 500 M² * Lantai 1 :       - km.Tidur 1         - Km Mandi Dlm           - ( ada bath up )       - k...,8500000000.0,4.0,4.0,342.0,500.0,2026-04-15,Blimbing
"Dieng, Malang",Rumah 2 lantai siap huni di perumahan Puncak Dieng Lokasi dekat dengan Universitas Brawijaya 2( Kedokteran Hewan)  Bagian belakang rumah masih ada ...,2400000000.0,7.0,4.0,250.0,220.0,2026-04-15,Sukun
"Blimbing, Malang","Rumah dengan banyak kamar di jalan candi- candi  Lokasi strategis dekat dengan jalan raya Borobudur , Sekolah Sabililah , Pasar Blimbing dan kampus...",2000000000.0,7.0,2.0,258.0,300.0,2026-04-15,Blimbing
"Araya, Malang",Spesifikasi: Luas Tanah     200m² Dimensi 8×25 Luas Bangunan 160m² Kamar Tidur 3+1 Kamar Mandi 2+1 Listrik 3500w Air Pdam Hadap Utara SHM Harga ...,2600000000.0,3.0,2.0,200.0,160.0,2026-04-15,Blimbing
"Araya, Malang",Spesifikasi: Luas Tanah 264 m2 Luas Bangunan 136 m2 Kamar Tidur 3+2 Kamar Mandi 2+1 (1 dalam kamar)  Listrik 1300 watt  Air PDAM  Garasi 1 Mobil  C...,2100000000.0,3.0,2.0,264.0,136.0,2026-04-15,Blimbing
"Araya, Malang",Luas tanah : 360 m²  Luas Bangun : 200 m² Dimensi : 12 x 30 m Lantai  : 2 lantai Status setifikat : SHM Menghadap : Utara Kamar tidur : 3 ( km ut...,3950000000.0,3.0,3.0,360.0,200.0,2026-04-15,Blimbing
"Dieng, Malang",Spesifikasi: SHM Hadap barat Luas tanah 450 m² (15x30) Luas bangunan 435 m² Bangunan 2 lantai Carport 2 mobil Garasi 2 mobil Kamar tidur 4+1 Kama...,6900000000.0,4.0,3.0,450.0,435.0,2026-04-15,Sukun
"Araya, Malang",Dijual Rumah Klasik Posisi Hook di Araya Malang  Spesifikasi:  berada di posisi hook  ⁠kondisi baik dan siap huni  ⁠private cluster  ⁠hanya 3...,2300000000.0,3.0,2.0,210.0,350.0,2026-04-15,Blimbing
"Araya, Malang",Spesifikasi: Luas tanah 240 m² Luas bangunan 280 m² Bangunan 2 lantai Carport 2 mobil Garasi 1 mobil Kamar tidur 3+1 Kamar mandi 3+1 Daya listrik...,4500000000.0,3.0,3.0,240.0,280.0,2026-04-15,Blimbing
"Klojen, Malang","[Harga Murah]  Dijual Rumah di Daerah Gunung - Gunung, Klojen Malang  Luas Tanah 486 m² Dimensi 12 x 40 m  Luas Bangunan 350 m²  Kamar Tidur 5 + ...",8000000000.0,5.0,3.0,486.0,350.0,2026-04-15,Klojen
"Blimbing, Malang",MURAH DIJUAL RUMAH MINIMALIS GRAHA KENCANA BOULEVARD  LT 232 m2 LB 190 m2  Kamar tidur 4 (AC 3) + 1 Kamar mandi 3 (Heater 2) + 1 PDAM dan sumur Lis...,2500000000.0,4.0,3.0,232.0,190.0,2026-04-15,Blimbing
