Bulanan,
,Inflasi Year on Year (YoY) Kota Malang (Persen)
,2025
Januari,0.98
Februari,-0.22
Maret,0.49
April,1.49
Mei,1.36
Juni,2.11
Juli,2.24
Agustus,2.13
September,2.67
Oktober,2.79
November,2.71
Desember,2.81
